,2013,2014,2015,2016
US,0.03095048089469484,0.0552415674443039,0.05933435195180162,0.04355461244185898
China,0.1618911653010761,0.10573433929573792,0.08108972373173018,0.030690305405605266
Russia,0.06854479905328918,-0.08387634034735279,-0.3233124982429178,-0.06219360199418363
Germany,0.07337437203707635,0.04081642618227984,-0.12273285981027801,0.035859631109185906
UK,0.2060812180454515,0.0978285227680172,-0.038651139529899264,-0.0841932789762754
France,0.058617727501620955,0.028183420749091383,-0.15204349456317962,0.01438169071341459
Italy,0.027385896586458958,0.016646830286220618,-0.1506534228630958,0.008834780496690753
Iran,-0.29507825474309296,0.07217562020346244,-0.0030295968305756233,0.1336405529953917
Israel,0.13170068027210885,0.06943976917528252,-0.008093889113719142,0.053583571331429346
Saudi Arabia,0.12706622046445593,0.18592166036830424,-0.0074859007106547635,-0.05644031086762645
