,2012,2013,2014,2015,2016
US,,2602.7109217572574,2713.9073108531798,,
China,,,,,
Russia,584.9233217074918,601.2532734399111,574.7127795443496,364.032889819189,333.16614752605324
Germany,2173.866470722967,2296.281365859925,2364.1033556632606,1985.6864915108304,2027.549467739424
UK,,2387.5134172587277,2650.2650543635386,2485.257649446687,2217.390764146936
France,2230.284352573841,2342.7293826874666,2370.661407490659,2000.6347178786546,2002.9982754352363
Italy,1421.7736372512486,1473.0563568571,1442.4944981949077,1231.8505361927866,1174.4340826995697
Iran,248.18983609582463,185.18665833696906,155.2203864218598,136.0122701867996,175.65336049381153
Israel,1851.968902092156,2133.6311185557415,2171.3305013571576,2089.4738726268183,2174.7016147905456
Saudi Arabia,,,,,
