,2012,2013,2014,2015,2016
US,51450.95911481823,52782.086508871005,54696.72616523267,56443.817242258214,57588.538070583025
China,6337.883089816724,7077.770410644034,7683.502532489903,8069.212817782704,8117.267066328659
Russia,15434.567958548196,16007.089721274817,14348.955587200431,9496.389477439725,8900.551990282882
Germany,44065.237604096386,46530.90518695966,48042.552403297006,41323.92026889205,42232.57087494638
UK,41790.77649555811,42724.0572661405,46783.457116166435,44305.54988517302,40412.03090483328
France,40874.7125276324,42592.9405233379,43008.64110026266,36613.361757385865,36870.21468575841
Italy,34814.12247894964,35370.269934821474,35396.65144135943,30180.313437470435,30668.971363456232
Iran,7832.897386850744,6036.181082281454,5540.976269020714,4862.2937507931365,5219.100940802438
Israel,32525.883319638455,36291.209132080156,37539.83227235659,35690.86287753129,37180.78633278727
Saudi Arabia,25303.06562626595,24934.381887330404,24575.39175224704,20732.833110626234,19982.068855730322
