,2012,2013,2014,2015,2016
US,2180.8747545393267,2022.8785596941736,1914.2212246293636,1856.7913622707742,1855.5812836273396
China,116.525196287837,132.52000176811208,147.1644176006216,156.13322442788174,156.69578904229817
Russia,568.9109392825821,615.6637292541263,588.9041628006562,460.92604232139115,479.72738376879926
Germany,577.7994960648398,569.5288664521768,569.2834871731546,487.3748526548616,504.9140502805212
UK,918.2845292722327,886.6766406418291,915.9434393860323,827.0066322824224,733.5556908458675
France,914.334342439023,945.7313224238189,959.2392748354351,831.0437409035609,857.8851185962834
Italy,500.1871271910815,497.3441222879829,455.6899472504464,365.21961867580984,412.8984507986788
Iran,215.72568994616262,154.92917294760235,126.27040062138148,133.4165199868292,152.757759005433
Israel,1967.8907780797674,2148.892611204169,2249.960441593534,2024.9161704514265,1729.8151181839457
Saudi Arabia,1942.3883162817538,2238.14235386854,2624.126117134892,2762.765857391911,1972.7542902494997
