,2012,2013,2014,2015,2016
US,313.993272,316.234505,318.622525,321.039839,323.405935
China,1350.695,1357.38,1364.27,1371.22,1378.665
Russia,143.201676,143.506911,143.819666,144.09687,144.342396
Germany,80.425823,80.645605,80.9825,81.686611,82.348669
UK,63.7003,64.128226,64.61316,65.128861,65.595565
France,65.659789,65.99866,66.316092,66.593366,66.859768
Italy,59.539717,60.233948,60.78914,60.730582,60.627498
Iran,76.453574,77.435384,78.411092,79.360487,80.277428
Israel,7.9105,8.0595,8.2157,8.3801,8.546
Saudi Arabia,29.086357,29.944476,30.776722,31.557144,32.275687
